"param_value","run1","run2","run3","average"
0,0,0,0,0
5,20,20,20,20
10,40,40,40,40
15,60,60,60,60
20,80,78,80,79.3333333333333
25,95,91,95,93.6666666666667
30,110,109,109,109.333333333333
35,125,128,125,126
40,139,138,140,139
45,153,157,156,155.333333333333
50,168,171,167,168.666666666667
55,182,183,181,182
60,198,196,200,198
65,213,212,213,212.666666666667
70,222,221,225,222.666666666667
75,235,234,234,234.333333333333
80,248,247,246,247
85,255,250,257,254
90,264,265,267,265.333333333333
95,273,275,276,274.666666666667
100,283,286,279,282.666666666667
105,291,290,291,290.666666666667
110,301,291,299,297
115,297,300,305,300.666666666667
120,314,312,308,311.333333333333
125,310,303,313,308.666666666667
130,319,310,320,316.333333333333
135,313,319,328,320
140,304,315,317,312
145,308,302,343,317.666666666667
150,324,313,324,320.333333333333
155,305,303,319,309
160,307,308,323,312.666666666667
165,304,319,313,312
170,307,316,297,306.666666666667
175,306,315,307,309.333333333333
180,319,312,302,311
185,296,315,306,305.666666666667
190,315,312,311,312.666666666667
195,290,304,302,298.666666666667
200,312,313,291,305.333333333333
205,304,308,300,304
210,301,302,304,302.333333333333
215,296,315,285,298.666666666667
220,291,320,302,304.333333333333
225,315,305,293,304.333333333333
230,302,302,294,299.333333333333
235,309,296,279,294.666666666667
240,303,302,286,297
245,297,300,281,292.666666666667
250,310,291,279,293.333333333333
