"param_value","run1","run2","run3","average"
1,0,0,0,0
0.975,0,0,0,0
0.95,0,0,0,0
0.925,0,0,0,0
0.9,0,0,0,0
0.875,0,0,0,0
0.85,0,0,0,0
0.825,0,0,0,0
0.8,0,0,0,0
0.775,0,0,0,0
0.75,1,0,1,0.666666666666667
0.725,1,1,1,1
0.7,5,4,5,4.66666666666667
0.675,12,8,9,9.66666666666667
0.65,25,19,19,21
0.625,30,26,35,30.3333333333333
0.6,46,48,45,46.3333333333333
0.575,65,61,64,63.3333333333333
0.55,78,77,73,76
0.525,97,94,91,94
0.5,120,118,117,118.333333333333
0.475,154,159,164,159
0.45,183,184,190,185.666666666667
0.425,207,209,207,207.666666666667
0.4,222,227,226,225
0.375,233,235,244,237.333333333333
0.35,254,253,256,254.333333333333
0.325,261,260,263,261.333333333333
0.3,262,270,286,272.666666666667
0.275,279,278,280,279
0.25,283,282,283,282.666666666667
0.225,292,287,297,292
0.2,297,292,302,297
0.175,290,302,301,297.666666666667
0.15,305,300,295,300
0.125,300,306,308,304.666666666667
0.1,313,311,309,311
0.075,314,309,310,311
0.0499999999999999,308,311,308,309
0.0249999999999999,315,311,317,314.333333333333
0,0,0,0,0
