"param_value","run1","run2","run3","average"
0,204,197,202,201
0.25,200,195,202,199
0.5,200,196,202,199.333333333333
0.75,196,202,190,196
1,200,193,193,195.333333333333
1.25,198,199,201,199.333333333333
1.5,199,194,198,197
1.75,201,198,200,199.666666666667
2,202,201,198,200.333333333333
2.25,212,208,208,209.333333333333
2.5,226,224,226,225.333333333333
2.75,237,233,241,237
3,247,245,242,244.666666666667
3.25,254,256,261,257
3.5,247,261,266,258
3.75,264,260,264,262.666666666667
4,262,272,258,264
4.25,283,276,284,281
4.5,278,270,288,278.666666666667
4.75,297,284,290,290.333333333333
5,301,291,299,297
5.25,294,293,298,295
5.5,300,296,294,296.666666666667
5.75,292,296,295,294.333333333333
6,290,292,295,292.333333333333
6.25,292,289,292,291
6.5,288,289,287,288
6.75,286,285,285,285.333333333333
7,280,279,279,279.333333333333
7.25,278,275,280,277.666666666667
7.5,273,274,277,274.666666666667
7.75,271,275,273,273
8,273,271,268,270.666666666667
8.25,263,265,266,264.666666666667
8.5,262,263,263,262.666666666667
8.75,262,259,261,260.666666666667
9,260,259,254,257.666666666667
9.25,254,256,254,254.666666666667
9.5,250,255,251,252
9.75,250,250,251,250.333333333333
10,243,247,246,245.333333333333
10.25,242,242,247,243.666666666667
10.5,241,238,240,239.666666666667
10.75,237,239,240,238.666666666667
11,236,233,233,234
11.25,236,233,242,237
11.5,229,232,230,230.333333333333
11.75,232,227,225,228
12,228,229,230,229
12.25,222,230,228,226.666666666667
12.5,222,222,223,222.333333333333
12.75,223,219,220,220.666666666667
13,221,220,221,220.666666666667
13.25,217,214,215,215.333333333333
13.5,213,219,212,214.666666666667
13.75,213,215,211,213
14,211,210,211,210.666666666667
14.25,211,206,209,208.666666666667
14.5,200,206,206,204
14.75,206,208,205,206.333333333333
15,200,200,197,199
15.25,204,198,200,200.666666666667
15.5,205,198,201,201.333333333333
15.75,199,199,194,197.333333333333
16,194,193,194,193.666666666667
16.25,194,193,196,194.333333333333
16.5,195,189,194,192.666666666667
16.75,193,190,189,190.666666666667
17,195,188,188,190.333333333333
17.25,185,194,190,189.666666666667
17.5,189,181,186,185.333333333333
17.75,180,188,188,185.333333333333
18,187,181,181,183
18.25,183,182,185,183.333333333333
18.5,180,185,174,179.666666666667
18.75,183,184,178,181.666666666667
19,178,178,180,178.666666666667
19.25,177,175,176,176
19.5,176,173,174,174.333333333333
19.75,180,173,177,176.666666666667
20,177,176,179,177.333333333333
