"param_value","food"
0,198
0.25,198
0.5,200
0.75,195
1,203
1.25,199
1.5,205
1.75,192
2,197
2.25,211
2.5,225
2.75,237
3,247
3.25,243
3.5,249
3.75,260
4,268
4.25,275
4.5,277
4.75,286
5,293
5.25,299
5.5,296
5.75,294
6,292
6.25,290
6.5,286
6.75,283
7,281
7.25,279
7.5,279
7.75,271
8,269
8.25,269
8.5,265
8.75,262
9,257
9.25,253
9.5,254
9.75,251
10,245
10.25,244
10.5,242
10.75,238
11,239
11.25,232
11.5,229
11.75,230
12,221
12.25,221
12.5,223
12.75,219
13,218
13.25,215
13.5,206
13.75,217
14,205
14.25,207
14.5,206
14.75,203
15,205
15.25,203
15.5,203
15.75,196
16,191
16.25,196
16.5,190
16.75,186
17,190
17.25,192
17.5,193
17.75,193
18,185
18.25,180
18.5,183
18.75,186
19,184
19.25,180
19.5,173
19.75,176
20,171
